Episodes, Test_Sample_Rate, Total_Avg_Rate
97300,67.0,72.22
97400,78.0,72.23
97500,73.0,72.23
97600,77.0,72.24
97700,80.0,72.24
97800,71.0,72.24
97900,78.0,72.25
98000,70.0,72.25
98100,53.0,72.23
98200,77.0,72.23
98300,79.0,72.24
98400,73.0,72.24
98500,78.0,72.24
98600,73.0,72.25
98700,76.0,72.25
98800,79.0,72.26
98900,82.0,72.27
99000,80.0,72.27
99100,68.0,72.27
99200,70.0,72.27
99300,75.0,72.27
99400,68.0,72.27
99500,75.0,72.27
99600,66.0,72.26
99700,75.0,72.26
99800,77.0,72.27
99900,77.0,72.27
100000,71.0,72.27
