Episodes, Test_Sample_Rate, Total_Avg_Rate
53900,68.0,71.57
54000,73.0,71.57
54100,78.0,71.59
54200,69.0,71.58
54300,67.0,71.57
54400,77.0,71.58
54500,0.0,71.45
54600,71.0,71.45
54700,70.0,71.45
54800,70.0,71.45
54900,75.0,71.45
55000,70.0,71.45
55100,75.0,71.46
55200,66.0,71.45
55300,80.0,71.46
55400,77.0,71.47
55500,64.0,71.46
55600,71.0,71.46
55700,82.0,71.48
55800,75.0,71.48
55900,73.0,71.48
56000,74.0,71.49
56100,71.0,71.49
56200,65.0,71.48
56300,81.0,71.49
56400,70.0,71.49
56500,78.0,71.5
56600,80.0,71.52
56700,71.0,71.52
56800,78.0,71.53
56900,79.0,71.54
57000,70.0,71.54
57100,74.0,71.54
57200,67.0,71.53
57300,76.0,71.54
57400,75.0,71.55
57500,81.0,71.57
57600,72.0,71.57
57700,76.0,71.57
57800,78.0,71.58
57900,74.0,71.59
58000,84.0,71.61
58100,71.0,71.61
58200,73.0,71.61
58300,74.0,71.62
58400,59.0,71.59
58500,81.0,71.61
58600,66.0,71.6
58700,75.0,71.61
58800,78.0,71.62
58900,74.0,71.62
59000,74.0,71.63
59100,72.0,71.63
59200,81.0,71.64
59300,76.0,71.65
59400,75.0,71.65
59500,67.0,71.65
59600,80.0,71.66
59700,79.0,71.67
59800,77.0,71.68
59900,81.0,71.7
60000,77.0,71.71
60100,77.0,71.72
60200,70.0,71.71
60300,71.0,71.71
60400,73.0,71.71
60500,77.0,71.72
60600,66.0,71.71
60700,68.0,71.71
60800,71.0,71.71
60900,74.0,71.71
61000,75.0,71.71
61100,67.0,71.71
61200,80.0,71.72
61300,72.0,71.72
61400,72.0,71.72
61500,71.0,71.72
61600,81.0,71.74
61700,67.0,71.73
61800,75.0,71.73
61900,70.0,71.73
62000,77.0,71.74
62100,71.0,71.74
62200,69.0,71.73
62300,73.0,71.74
62400,79.0,71.75
62500,74.0,71.75
62600,78.0,71.76
62700,71.0,71.76
62800,72.0,71.76
62900,72.0,71.76
63000,74.0,71.76
63100,71.0,71.76
63200,70.0,71.76
63300,76.0,71.77
63400,84.0,71.79
63500,70.0,71.78
63600,78.0,71.79
63700,69.0,71.79
63800,74.0,71.79
63900,70.0,71.79
64000,69.0,71.78
64100,77.0,71.79
64200,78.0,71.8
64300,70.0,71.8
64400,70.0,71.8
64500,81.0,71.81
64600,74.0,71.81
64700,72.0,71.81
64800,73.0,71.82
64900,75.0,71.82
65000,74.0,71.82
65100,72.0,71.82
65200,77.0,71.83
65300,69.0,71.83
65400,68.0,71.82
65500,68.0,71.82
65600,78.0,71.83
65700,76.0,71.83
65800,80.0,71.84
65900,71.0,71.84
66000,77.0,71.85
66100,68.0,71.85
66200,77.0,71.85
66300,72.0,71.85
66400,79.0,71.86
66500,76.0,71.87
66600,70.0,71.87
66700,70.0,71.87
66800,37.0,71.81
66900,73.0,71.81
67000,70.0,71.81
67100,73.0,71.81
67200,72.0,71.81
67300,78.0,71.82
67400,76.0,71.83
67500,70.0,71.83
67600,51.0,71.8
67700,59.0,71.78
67800,70.0,71.77
67900,72.0,71.77
68000,70.0,71.77
68100,77.0,71.78
68200,79.0,71.79
68300,80.0,71.8
68400,77.0,71.81
68500,73.0,71.81
68600,81.0,71.83
68700,70.0,71.82
68800,78.0,71.83
