Episodes, Test_Sample_Rate, Total_Avg_Rate
93100,83.0,70.26
93200,69.0,70.26
93300,67.0,70.25
93400,77.0,70.26
93500,72.0,70.26
93600,49.0,70.24
93700,78.0,70.25
93800,79.0,70.26
93900,74.0,70.26
94000,74.0,70.27
94100,82.0,70.28
94200,59.0,70.27
94300,78.0,70.27
94400,82.0,70.29
94500,77.0,70.29
94600,72.0,70.3
94700,70.0,70.3
94800,58.0,70.28
94900,77.0,70.29
95000,77.0,70.3
95100,66.0,70.29
95200,69.0,70.29
95300,79.0,70.3
95400,74.0,70.3
95500,81.0,70.32
95600,48.0,70.29
95700,72.0,70.29
95800,77.0,70.3
95900,75.0,70.31
96000,64.0,70.3
96100,80.0,70.31
96200,72.0,70.31
96300,70.0,70.31
96400,76.0,70.32
96500,75.0,70.32
96600,76.0,70.33
96700,74.0,70.33
96800,70.0,70.33
96900,69.0,70.33
97000,74.0,70.33
97100,82.0,70.35
97200,75.0,70.35
97300,76.0,70.36
97400,74.0,70.36
97500,72.0,70.36
97600,74.0,70.36
97700,80.0,70.37
97800,72.0,70.38
97900,74.0,70.38
98000,73.0,70.38
98100,77.0,70.39
98200,70.0,70.39
98300,73.0,70.39
98400,67.0,70.39
98500,85.0,70.4
98600,78.0,70.41
98700,73.0,70.41
98800,74.0,70.42
98900,79.0,70.43
99000,74.0,70.43
99100,83.0,70.44
99200,78.0,70.45
99300,73.0,70.45
99400,73.0,70.45
99500,68.0,70.45
99600,69.0,70.45
99700,66.0,70.45
99800,67.0,70.44
99900,71.0,70.44
100000,75.0,70.45
